codigo_ibge,nome_municipio,uf,periodo_inicio,periodo_fim,fonte_clima,metodo_processamento,temp_media_jan,temp_media_fev,temp_media_mar,temp_media_abr,temp_media_mai,temp_media_jun,temp_media_jul,temp_media_ago,temp_media_set,temp_media_out,temp_media_nov,temp_media_dez,tmin_jan,tmin_fev,tmin_mar,tmin_abr,tmin_mai,tmin_jun,tmin_jul,tmin_ago,tmin_set,tmin_out,tmin_nov,tmin_dez,tmax_jan,tmax_fev,tmax_mar,tmax_abr,tmax_mai,tmax_jun,tmax_jul,tmax_ago,tmax_set,tmax_out,tmax_nov,tmax_dez,ppt_jan,ppt_fev,ppt_mar,ppt_abr,ppt_mai,ppt_jun,ppt_jul,ppt_ago,ppt_set,ppt_out,ppt_nov,ppt_dez,pet_jan,pet_fev,pet_mar,pet_abr,pet_mai,pet_jun,pet_jul,pet_ago,pet_set,pet_out,pet_nov,pet_dez,aet_jan,aet_fev,aet_mar,aet_abr,aet_mai,aet_jun,aet_jul,aet_ago,aet_set,aet_out,aet_nov,aet_dez,def_jan,def_fev,def_mar,def_abr,def_mai,def_jun,def_jul,def_ago,def_set,def_out,def_nov,def_dez
1100015,Alta Floresta D'Oeste,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,25.18,25.23,25.57,25.26,24.39,23.66,23.90,25.60,25.90,26.19,25.73,25.48,19.84,20.31,20.42,19.53,18.79,16.39,16.12,17.03,18.47,19.44,19.72,19.75,30.52,30.14,30.71,30.99,30.00,30.93,31.68,34.17,33.33,32.94,31.74,31.20,259.78,235.69,250.40,122.58,60.22,16.38,6.02,19.06,58.12,136.41,189.85,225.85,87.65,81.08,88.87,91.54,94.37,93.67,112.31,130.70,123.22,119.40,104.18,95.39,87.54,80.84,88.44,89.09,79.34,61.69,61.83,65.66,76.54,108.10,101.05,95.08,0.00,0.00,0.00,2.45,14.87,31.74,50.42,64.80,46.20,11.53,2.90,0.29
1100023,Ariquemes,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,25.29,25.39,25.59,25.54,25.24,24.71,24.91,26.23,26.16,25.98,25.69,25.44,20.50,21.12,21.38,20.60,20.04,18.03,17.30,18.64,19.73,20.14,20.43,20.25,30.08,29.66,29.79,30.48,30.44,31.40,32.52,33.81,32.59,31.81,30.94,30.62,334.41,313.93,318.51,197.44,94.47,16.95,7.08,22.55,90.91,182.59,257.71,296.87,82.14,72.65,84.04,80.53,91.81,92.94,108.21,118.36,110.47,106.37,97.98,85.13,82.09,72.41,83.82,80.44,85.99,63.32,62.03,64.40,90.14,104.82,97.72,85.28,0.00,0.00,0.00,0.29,5.65,29.46,46.09,53.95,19.80,1.41,0.06,0.00
1100031,Cabixi,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,25.85,25.80,26.13,25.71,24.47,23.55,23.79,25.45,26.55,27.04,26.48,26.25,20.75,20.92,20.93,19.78,18.35,16.21,15.57,16.79,19.04,20.32,20.64,20.72,30.95,30.67,31.34,31.65,30.59,30.89,32.00,34.12,34.06,33.75,32.33,31.78,314.01,273.89,255.15,154.43,58.26,18.53,12.14,16.68,53.19,152.19,203.72,294.31,95.29,85.36,92.88,97.32,97.95,95.50,115.24,134.04,129.86,128.86,114.56,103.86,94.91,85.03,92.39,95.53,81.20,63.42,65.82,66.11,74.27,118.60,109.57,103.59,0.00,0.00,0.00,1.65,16.77,31.91,49.42,67.96,55.16,10.79,4.60,0.04
1100049,Cacoal,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,24.69,24.84,25.18,24.87,24.46,23.73,24.00,26.01,25.72,25.50,25.14,24.98,19.31,20.04,20.08,19.32,18.72,16.28,15.40,17.52,18.53,18.78,19.10,19.18,30.07,29.64,30.28,30.41,30.21,31.18,32.60,34.49,32.91,32.21,31.18,30.77,373.13,308.96,291.62,169.22,60.44,15.45,7.28,18.26,76.43,142.86,229.06,307.01,84.37,74.93,85.66,85.73,93.73,93.36,110.59,125.99,113.87,112.80,101.14,88.86,84.21,74.64,85.23,85.49,79.02,61.70,62.42,65.60,84.29,107.43,99.79,88.87,0.00,0.00,0.00,0.44,14.36,31.44,48.04,60.16,29.09,5.23,1.08,0.00
1100056,Cerejeiras,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,25.84,25.82,26.18,25.79,24.64,23.75,23.96,25.67,26.52,27.02,26.48,26.23,20.69,20.95,21.01,19.92,18.72,16.52,15.95,17.03,19.03,20.28,20.60,20.67,30.99,30.70,31.34,31.66,30.57,30.99,31.97,34.31,34.01,33.76,32.37,31.79,295.31,257.24,244.73,129.25,57.55,17.55,9.41,16.09,50.87,152.12,193.55,240.22,93.62,84.88,92.54,96.93,97.23,95.48,116.03,133.92,128.74,127.69,113.76,102.47,93.34,84.54,92.10,94.28,80.18,62.29,62.83,59.45,67.25,116.95,109.08,101.92,0.00,0.00,0.00,2.67,17.16,33.05,53.29,74.58,60.96,11.31,4.35,0.36
1100064,Colorado do Oeste,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,25.07,25.04,25.36,24.99,23.88,23.02,23.30,25.03,25.95,26.25,25.68,25.44,20.04,20.22,20.24,19.14,17.76,15.76,15.04,16.35,18.44,19.55,19.90,19.92,30.11,29.85,30.49,30.84,29.99,30.29,31.57,33.71,33.46,32.95,31.46,30.95,322.10,284.74,270.48,160.91,61.00,17.63,10.51,18.96,58.13,164.27,208.67,294.09,91.83,82.76,89.30,94.71,96.08,94.34,115.48,131.96,126.06,124.46,109.89,99.51,91.52,82.43,88.85,93.64,80.99,62.78,65.97,67.77,77.07,118.27,106.89,99.37,0.00,0.00,0.00,1.02,15.11,31.31,49.38,64.13,48.22,6.51,2.67,0.00
1100072,Corumbiara,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,25.31,25.31,25.66,25.29,24.28,23.45,23.70,25.48,26.14,26.48,25.94,25.67,20.19,20.48,20.53,19.48,18.34,16.22,15.58,16.85,18.66,19.73,20.09,20.11,30.43,30.14,30.79,31.09,30.22,30.67,31.82,34.12,33.62,33.22,31.79,31.23,302.79,269.37,257.72,134.53,56.43,16.00,8.21,18.74,52.08,164.46,184.99,219.48,91.32,81.78,89.56,93.51,96.37,94.52,115.53,131.72,125.36,123.87,109.80,98.66,91.09,81.45,89.16,91.66,79.67,61.68,63.72,64.77,71.32,117.20,105.71,98.27,0.00,0.00,0.00,1.90,16.78,32.62,51.81,66.86,53.49,6.93,3.79,0.26
1100080,Costa Marques,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,26.17,26.12,26.39,26.33,25.36,24.69,24.95,26.32,27.10,27.30,26.80,26.38,21.04,21.32,21.56,20.90,20.14,17.76,18.32,17.79,19.59,20.83,21.02,20.88,31.31,30.91,31.22,31.76,30.58,31.62,31.59,34.84,34.62,33.78,32.58,31.87,258.06,240.52,229.06,136.14,78.65,16.98,10.22,23.50,62.44,128.20,166.89,205.43,90.43,83.99,90.65,90.42,96.26,95.34,110.41,130.80,129.97,123.92,108.02,98.10,90.47,83.73,90.28,89.12,85.60,64.39,66.17,75.72,88.28,112.43,104.82,98.07,0.00,0.00,0.00,1.29,10.65,30.80,44.22,55.02,41.52,11.54,3.01,0.09
1100098,Espigão D'Oeste,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,24.54,24.63,24.99,24.71,24.29,23.53,23.76,25.70,25.64,25.41,25.03,24.87,19.33,19.88,19.99,19.19,18.40,16.11,15.13,17.10,18.35,18.72,19.14,19.18,29.75,29.38,29.99,30.24,30.18,30.95,32.39,34.29,32.94,32.10,30.92,30.55,343.79,332.62,283.84,178.40,62.94,13.66,5.89,20.05,69.11,155.65,220.78,294.95,84.99,74.99,85.08,87.04,94.51,95.01,112.81,127.04,115.16,113.23,100.69,89.25,84.73,74.80,84.60,86.84,80.20,62.41,64.34,69.64,82.80,109.48,99.27,89.19,0.00,0.00,0.00,0.41,13.95,32.36,48.36,57.24,32.17,3.52,1.06,0.00
1100106,Guajará-Mirim,RO,1975,2024,TerraClimate,media_dos_pixels_do_raster_dentro_do_municipio; fallback_centroide_quando_sem_pixel,26.28,26.29,26.45,26.51,25.73,25.02,25.39,26.61,27.30,27.42,26.82,26.39,21.36,21.81,22.02,21.53,20.60,18.56,18.67,18.62,20.19,21.41,21.29,21.16,31.20,30.77,30.89,31.48,30.86,31.47,32.11,34.60,34.41,33.43,32.34,31.63,273.70,252.09,245.94,160.61,98.21,20.95,10.34,25.86,72.67,140.32,174.99,218.87,88.63,82.09,88.93,86.93,95.54,94.90,109.35,127.16,126.43,120.92,101.73,93.75,88.68,81.87,88.67,86.41,89.50,66.36,67.49,77.83,94.31,112.91,99.76,93.94,0.00,0.00,0.00,0.65,6.16,28.42,41.89,49.28,32.06,7.64,1.79,0.01
